taxon_name_Stace,kew_id,C_num,S_num,R_num,predicted_CSR
Elaeagnus umbellata,927281-1,28.2,26.4,45.4,R/CSR
Elatine hexandra,324687-1,0,30.01,69.99,R/SR
Elatine hydropiper,324690-1,0,0,100,R
Eleocharis acicularis,1169169-2,0,0,100,R
Eleocharis multicaulis,306968-1,15.22,84.78,0,S
Eleocharis palustris,1094314-2,16.46,70.42,13.12,S/CS
Eleocharis quinqueflora,307064-1,4.12,95.88,0,S
Eleusine indica,74675-3,19.88,33.48,46.65,SR/CSR
Elodea canadensis,90075-2,2.07,45.25,52.68,SR
Elodea nuttallii,90089-2,0,48.57,51.43,SR
Elymus caninus,400197-1,18.36,51.07,30.57,S/CSR
Elymus repens,90320-2,33.11,42.66,24.23,CS/CSR
Empetrum nigrum,30371508-2,0,100,0,S
Epilobium anagallidifolium,611612-1,0,64.06,35.94,S/SR
Epilobium brachycarpum,611683-1,6.21,15.02,78.77,R/SR
Epilobium ciliatum,611725-1,26.58,0,73.42,R/CR
Epilobium hirsutum,611919-1,40.59,16.91,42.49,CR/CSR
Epilobium montanum,612070-1,32.94,25.41,41.65,CSR
Epilobium obscurum,612128-1,36.9,0,63.1,R/CR
Epilobium palustre,612155-1,28.61,0,71.39,R/CR
Epilobium parviflorum,612163-1,31.57,0,68.43,R/CR
Epilobium roseum,612275-1,22.75,0,77.25,R/CR
Epilobium tetragonum,612378-1,18.93,32.57,48.5,SR/CSR
Epipactis atrorubens,20010355-1,35.8,25,39.21,CSR
Epipactis helleborine,633228-1,41.66,1.27,57.08,CR
Epipactis palustris,633289-1,34.84,19.05,46.11,CR/CSR
Equisetum arvense,300073-2,13.95,66.26,19.79,S/SR
Equisetum fluviatile,30041462-2,47.23,52.77,0,CS
Equisetum hyemale,92939-2,42.34,57.66,0,CS
Equisetum palustre,30039890-2,16.18,83.82,0,S
Equisetum ramosissimum,93010-2,8.97,91.03,0,S
Equisetum sylvaticum,303325-2,12.3,48.08,39.61,SR/CSR
Equisetum telmateia,20007435-1,9.84,0,90.16,R
Eragrostis cilianensis,1104599-2,3.94,56.42,39.64,SR
Eragrostis minor,401317-1,4.96,57.92,37.12,SR
Erica cinerea,328424-1,0,93.19,6.81,S
Erica tetralix,329737-1,0,97.04,2.96,S
Erigeron annuus,203539-1,17.39,39.99,42.62,SR/CSR
Erigeron borealis,93610-2,10.29,0,89.71,R
Erigeron canadensis,203653-1,13.18,36.99,49.83,SR/CSR
Erigeron speciosus,204526-1,16.9,45.44,37.66,SR/CSR
Eriophorum angustifolium,307335-1,27.34,58.15,14.51,S/CSR
Eriophorum latifolium,307375-1,16.42,59.97,23.6,S/CSR
Eriophorum vaginatum,307418-1,21.38,76.71,1.91,S/CS
Erodium cicutarium,372219-1,24.44,25.32,50.24,R/CSR
Erodium moschatum,372354-1,64.62,0,35.38,C/CR
Erophila verna,283367-1,3.46,11.3,85.24,R
Eruca vesicaria,1137625-2,47.17,0,52.83,CR
Eryngium campestre,841701-1,83.91,16.09,0,C
Eryngium maritimum,841903-1,29.43,70.57,0,S/CS
Erysimum cheiranthoides,307231-2,27.54,27.42,45.04,R/CSR
Erysimum cheiri,283703-1,45.27,31.84,22.89,CS/CSR
Euonymus europaeus,160876-1,26.29,54.13,19.58,S/CSR
Euonymus latifolius,160962-1,38.04,33.02,28.94,CSR
Eupatorium cannabinum,205581-1,44.74,16.73,38.53,CR/CSR
Euphorbia amygdaloides,345568-1,16.07,31.68,52.25,R/CSR
Euphorbia cyparissias,346205-1,11.34,59.09,29.57,S/CSR
Euphorbia dulcis,346333-1,15.06,33.74,51.2,SR/CSR
Euphorbia esula,346448-1,10.56,45.48,43.96,SR
Euphorbia exigua,346469-1,0.46,34.83,64.71,R/SR
Euphorbia helioscopia,346754-1,18.85,18.32,62.83,R/CSR
Euphorbia lathyris,347072-1,43.95,6.16,49.88,CR
Euphorbia paralias,347659-1,6.33,71.02,22.64,S/SR
Euphorbia peplus,347724-1,7.64,7.35,85.02,R
Euphrasia nemorosa,60463343-2,1.72,49.49,48.79,SR
Euphrasia officinalis,802732-1,1.14,69.91,28.95,S/SR
Euthamia graminifolia,1004467-1,21.17,61.76,17.07,S/CSR
Fagopyrum esculentum,694526-1,44.12,0,55.88,CR
Fagus sylvatica,305836-2,22.04,51.39,26.58,S/CSR
Falcaria vulgaris,842163-1,77.3,10.99,11.7,C/CR
Fallopia convolvulus,103354-2,26.45,19.86,53.69,R/CSR
Fallopia dumetorum,694568-1,32.04,26.23,41.72,CSR
Festuca heterophylla,402849-1,13.82,86.18,0,S
Festuca ovina,403212-1,1.29,84.13,14.59,S
Festuca rubra,30010036-2,13.49,67.53,18.98,S/SR
Festuca trachyphylla,60451281-2,6.81,93.19,0,S
Festuca vivipara,403725-1,1.71,90.93,7.36,S
Ficaria verna,711233-1,32.09,0,67.91,R/CR
Ficus carica,852556-1,70.18,19.35,10.47,C/CS
Filago germanica,207886-1,1.06,16.74,82.2,R/SR
Filago pyramidata,207952-1,1.16,46.3,52.54,SR
Filipendula ulmaria,724943-1,48.64,31.05,20.31,C/CSR
Filipendula vulgaris,724945-1,31.76,39.77,28.47,CSR
Foeniculum vulgare,842680-1,73.47,24.66,1.88,C/CS
Fragaria vesca,30074127-2,30.95,36.7,32.35,CSR
Frangula alnus,717344-1,28.52,39.55,31.93,CSR
Fraxinus angustifolia,332095-2,36.15,47.96,15.89,CS/CSR
Fraxinus excelsior,609009-1,43.02,44.73,12.25,CS/CSR
Fraxinus ornus,609128-1,46.79,39.74,13.47,CS/CSR
Fritillaria meleagris,535213-1,38.15,0,61.85,CR
Fumaria muralis,673038-1,26.79,17.86,55.35,R/CSR
Fumaria officinalis,30017594-2,23.28,0,76.72,R/CR
Fumaria parviflora,673065-1,33.66,0,66.34,R/CR
Fumaria vaillantii,673141-1,9.92,0,90.08,R
Gagea lutea,535577-1,33.72,0,66.28,R/CR
Gagea serotina,535653-1,57.64,27.93,14.44,C/CSR
Galanthus nivalis,64496-1,42.39,0,57.61,CR
Galatella linosyris,208467-1,6.52,79.53,13.96,S/SR
Galega officinalis,495681-1,57.72,0,42.28,CR
Galeopsis speciosa,447129-1,39.79,16.43,43.78,CR/CSR
Galeopsis tetrahit,447136-1,26.8,14.59,58.61,R/CSR
Galinsoga parviflora,208554-1,15.73,31.43,52.84,R/CSR
Galinsoga quadriradiata,208557-1,30.65,0,69.35,R/CR
Galium aparine,30007294-2,10.68,0,89.32,R
Galium boreale,749626-1,3.96,54.25,41.79,SR
Galium odoratum,750339-1,10.29,0.8,88.92,R
Galium palustre,750370-1,1.41,42.86,55.73,SR
Galium parisiense,750384-1,0,31.5,68.5,R/SR
Galium saxatile,750586-1,0,22.92,77.08,R/SR
Galium sterneri,750676-1,0,42.9,57.1,SR
Galium tricornutum,107226-2,8.35,30.47,61.18,R/SR
Galium uliginosum,750789-1,0,40.45,59.55,SR
Galium verum,750829-1,16.59,53.13,30.28,S/CSR
Genista anglica,495881-1,0,80.26,19.74,S/SR
Genista pilosa,496255-1,0.54,89.45,10.02,S
Genista tinctoria,496408-1,9.8,59.93,30.27,S/SR
Gentiana asclepiadea,367809-1,16.24,45.12,38.64,SR/CSR
Gentiana nivalis,368570-1,0,0,100,R
Gentiana pneumonanthe,368687-1,12.71,46.23,41.06,SR/CSR
Gentianella amarella,108639-2,38.5,19.44,42.06,CR/CSR
Gentianella germanica,77068284-1,9.08,75.62,15.3,S/SR
Geranium columbinum,372911-1,17.17,40.94,41.89,SR/CSR
Geranium dissectum,30210528-2,13.33,44.25,42.42,SR/CSR
Geranium lucidum,373275-1,30.16,16.6,53.24,R/CSR
Geranium molle,373335-1,26.75,14.63,58.63,R/CSR
Geranium nodosum,373379-1,45.75,17.29,36.96,CR/CSR
Geranium phaeum,373470-1,64.54,0,35.46,C/CR
Geranium pratense,322493-2,56.44,23.61,19.95,C/CSR
Geranium pusillum,60444752-2,38.88,18.4,42.72,CR/CSR
Geranium pyrenaicum,322504-2,48.6,16.16,35.24,CR/CSR
Geranium robertianum,109269-2,34.65,0,65.35,R/CR
Geranium rotundifolium,373602-1,24.34,34.4,41.26,SR/CSR
Geranium sanguineum,322494-2,24.9,31.91,43.18,SR/CSR
Geranium sylvaticum,322492-2,39.94,23.59,36.47,CR/CSR
Geum macrophyllum,725292-1,21.04,32.2,46.75,SR/CSR
Geum rivale,725355-1,51.58,22.23,26.19,C/CSR
Geum urbanum,725399-1,29.33,41.48,29.19,CSR
Ginkgo biloba,262125-1,58.18,14.63,27.19,C/CSR
Glaucium flavum,673167-1,69.68,0,30.32,C/CR
Glebionis segetum,209007-1,38.41,0,61.59,CR
Glechoma hederacea,447338-1,28.57,3.37,68.06,R/CR
Glyceria declinata,404078-1,22.48,0,77.52,R/CR
Glyceria fluitans,404100-1,19.11,41.96,38.94,SR/CSR
Glyceria maxima,404141-1,54.2,27.62,18.18,C/CSR
Glyceria notata,60437219-2,24.1,19.98,55.92,R/CSR
Gnaphalium uliginosum,210174-1,5.44,0,94.56,R
Griselinia littoralis,271806-1,56.31,43.69,0,CS
Groenlandia densa,602950-1,3.22,22.55,74.23,R/SR
Guizotia abyssinica,210735-1,54.32,0,45.68,CR
Gymnadenia conopsea,636509-1,54.38,0,45.62,CR
Gymnocarpium dryopteris,17112110-1,46,6.34,47.66,CR
Gymnocarpium robertianum,17112130-1,29.05,37.97,32.98,CSR
Gypsophila paniculata,154563-1,14.43,66.75,18.82,S/SR
Hedera helix,90723-1,34.87,50.51,14.61,CS/CSR
Helianthemum nummularium,169032-1,14.23,25.24,60.52,R/CSR
Helianthus annuus,119003-2,82.84,0,17.16,C/CR
Helianthus tuberosus,329252-2,79.45,0,20.55,C/CR
Helleborus foetidus,711317-1,71.48,13.27,15.25,C/CR
Helleborus viridis,711386-1,80.43,16.47,3.1,C/CS
Helminthotheca echioides,213702-1,44.45,0,55.55,CR
Hepatica nobilis,711404-1,39.39,31.88,28.73,CSR
Heracleum mantegazzianum,843084-1,86.91,1.6,11.49,C
Heracleum sphondylium,843179-1,74.8,9.34,15.86,C/CR
Herminium monorchis,638624-1,15.67,0,84.33,R
Herniaria glabra,434799-1,0,33.47,66.53,R/SR
Herniaria hirsuta,434804-1,0,36.26,63.74,R/SR
Hesperis matronalis,285087-1,38.49,0,61.51,CR
Hieracium alpinum,214622-1,25.81,1.95,72.24,R/CR
Hieracium amplexicaule,214716-1,63.61,0,36.39,C/CR
Hieracium sabaudum,222584-1,35.39,0,64.61,R/CR
Hieracium umbellatum,224435-1,28.75,32.55,38.7,CSR
Hierochloe odorata,404911-1,0.88,17.64,81.48,R/SR
Himantoglossum hircinum,638840-1,63.1,0,36.9,C/CR
Hippocrepis comosa,498352-1,17.67,53.02,29.31,S/CSR
Hippuris vulgaris,430352-1,2.87,0,97.13,R
Hirschfeldia incana,285350-1,66.55,0,33.45,C/CR
Holcus lanatus,405034-1,20.54,35.17,44.28,SR/CSR
Holcus mollis,123530-2,23.33,22.26,54.41,R/CSR
Homogyne alpina,225016-1,42.61,5.2,52.19,CR
Hordelymus europaeus,405133-1,29.65,22.37,47.98,R/CSR
Hordeum distichon,405212-1,45.1,3.41,51.49,CR
Hordeum jubatum,405267-1,10.09,44.99,44.91,SR
Hordeum marinum,30066468-2,1.13,32.15,66.72,R/SR
Hordeum murinum,405301-1,10.56,43.88,45.55,SR
Hordeum secalinum,405352-1,15.93,32.64,51.43,R/CSR
Hordeum vulgare,405391-1,45.05,6.64,48.32,CR
Hornungia petraea,285375-1,0,0,100,R
Hottonia palustris,701007-1,6.59,0,93.41,R
Humulus lupulus,303502-2,40.6,31.2,28.2,CSR
Huperzia selago,1140250-2,0,80.5,19.5,S/SR
Hyacinthoides hispanica,536678-1,19.31,67.81,12.89,S/CS
Hyacinthoides non-scripta,971733-1,60.86,0,39.14,CR
Hydrocharis morsus-ranae,431799-1,33.23,0,66.77,R/CR
Hydrocotyle vulgaris,843768-1,25.99,0,74.01,R/CR
Hyoscyamus niger,815932-1,56.73,0,43.27,CR
Hypericum calycinum,433287-1,33.33,59.78,6.89,S/CS
Hypericum elodes,433400-1,5.89,26.44,67.68,R/SR
Hypericum hirsutum,433492-1,14.14,42.13,43.73,SR/CSR
Hypericum humifusum,433500-1,2.24,54.42,43.34,SR
Hypericum maculatum,325096-2,16.7,41.76,41.53,SR/CSR
Hypericum montanum,433620-1,15.54,45.02,39.44,SR/CSR
Hypericum perforatum,433719-1,8.59,52.92,38.49,SR
Hypericum pulchrum,433764-1,5.53,64.37,30.09,S/SR
Hypericum tetrapterum,433905-1,11.82,19.95,68.23,R/SR
Hypochaeris glabra,225504-1,32.49,0,67.51,R/CR
Hypochaeris maculata,225539-1,56.52,0,43.48,CR
Hypochaeris radicata,225575-1,32.42,0,67.58,R/CR
Hyssopus officinalis,127231-2,13.69,29.21,57.1,R/CSR
Iberis umbellata,324671-2,24.35,0,75.65,R/CR
Ilex aquifolium,83051-1,33.13,66.87,0,S/CS
Illecebrum verticillatum,302405-2,0,0,100,R
Impatiens capensis,30008241-2,38.38,0,61.62,CR
Impatiens glandulifera,30221088-2,55.07,0,44.93,CR
Impatiens noli-tangere,30208246-2,31.79,0,68.21,R/CR
Impatiens parviflora,374266-1,37.25,0,62.75,R/CR
Inula helenium,225914-1,65.79,24.85,9.36,C/CS
Inula salicina,226092-1,21.82,34.83,43.35,SR/CSR
Iris foetidissima,438606-1,61.96,36.27,1.77,C/CS
Iris germanica,438637-1,30.31,65.86,3.83,S/CS
Iris pseudacorus,438992-1,73.63,16.6,9.76,C/CS
Iris spuria,439117-1,51.56,48.44,0,CS
Isatis tinctoria,285873-1,57.83,0,42.17,CR
Isolepis setacea,309559-1,6.7,5.85,87.45,R
Jacobaea aquatica,226583-1,53.49,0,46.51,CR
Jacobaea erucifolia,226598-1,37.62,40.97,21.41,CS/CSR
Jacobaea paludosa,226621-1,57.57,0,42.43,CR
Jacobaea vulgaris,226649-1,63.73,0,36.27,C/CR
Jasione montana,142679-1,1.36,30.93,67.72,R/SR
Juglans regia,442427-1,47.37,37.57,15.05,CS/CSR
Juncus acutiflorus,133720-3,45.46,40.33,14.2,CS/CSR
Juncus alpinoarticulatus,77177309-1,5.59,84.64,9.77,S
Juncus articulatus,442698-1,29.78,37.65,32.57,CSR
Juncus biglumis,442732-1,0,85.11,14.89,S
Juncus bufonius,30079279-2,10.73,0,89.27,R
Juncus bulbosus,324840-2,0.23,51.24,48.53,SR
Juncus castaneus,442797-1,13.86,55.75,30.38,S/CSR
Juncus compressus,442830-1,13.81,66.45,19.74,S/SR
Juncus conglomeratus,442841-1,22.25,77.75,0,S/CS
Juncus effusus,442917-1,36.4,56.02,7.58,CS
Juncus filiformis,442961-1,34.74,63.24,2.01,S/CS
Juncus gerardii,30116907-2,23.9,55.43,20.67,S/CSR
Juncus inflexus,443065-1,42.6,57.4,0,CS
Juncus maritimus,443185-1,18.79,81.21,0,S/CS
Juncus ranarius,443410-1,0,22.72,77.28,R/SR
Juncus squarrosus,443512-1,3.89,96.11,0,S
Juncus subnodulosus,443536-1,16.83,83.17,0,S/CS
Juncus tenuis,304453-2,5.11,86.61,8.28,S
Juncus trifidus,443605-1,6.1,79.51,14.4,S/SR
Juniperus communis,30088655-2,0,100,0,S
Kalmia angustifolia,133210-2,10.74,89.26,0,S
Kickxia elatine,804092-1,9.06,5.14,85.79,R
Kickxia spuria,804122-1,33.15,7.41,59.44,R/CR
Knautia arvensis,319318-1,56.71,7.79,35.51,CR
Koeleria macrantha,406615-1,7.33,82.49,10.17,S
Laburnum anagyroides,501428-1,30.35,39.33,30.32,CSR
Lactuca serriola,228255-1,53.38,10.18,36.44,CR
Lactuca tatarica,228306-1,51.27,0,48.73,CR
Lactuca virosa,329493-2,63.36,5.48,31.16,C/CR
Lagurus ovatus,406799-1,13.08,48.19,38.73,SR/CSR
Lamium album,448792-1,39.46,2.36,58.17,CR
Lamium amplexicaule,448797-1,20.39,0,79.61,R/CR
Lamium maculatum,448886-1,32.09,16.11,51.8,R/CSR
Lamium purpureum,448939-1,23.33,0,76.67,R/CR
Laphangium luteoalbum,977249-1,7.94,15.86,76.19,R/SR
Lappula squarrosa,117629-1,19.39,21.25,59.36,R/CSR
Lapsana communis,228732-1,48.12,0,51.88,CR
Larix decidua,262420-1,0,88.25,11.75,S
Lathyrus heterophyllus,501749-1,53.23,19.67,27.11,C/CSR
Lathyrus latifolius,501802-1,58.82,19.65,21.53,C/CSR
Lathyrus niger,501886-1,36.45,22.36,41.19,CR/CSR
Lathyrus nissolia,501889-1,38.26,19.41,42.34,CR/CSR
Lathyrus odoratus,501909-1,37.88,20.19,41.93,CR/CSR
Lathyrus palustris,501920-1,43.06,1.94,55,CR
Lathyrus pratensis,501954-1,14.4,43.75,41.85,SR/CSR
Lathyrus sativus,501990-1,38.66,0,61.34,CR
Lathyrus tuberosus,502065-1,18.86,22.79,58.35,R/CSR
Lathyrus vernus,502084-1,33.22,21.2,45.58,CR/CSR
Laurus nobilis,465049-1,41.83,54.05,4.11,CS
Lavandula angustifolia,449008-1,1.27,94.54,4.18,S
Leersia oryzoides,1109632-2,17.25,46.14,36.6,SR/CSR
Legousia hybrida,142775-1,3.41,0,96.59,R
Legousia speculum-veneris,60457789-2,6.82,0,93.18,R
Lemna gibba,526178-1,0,0,100,R
Lemna minor,526194-1,0,0,100,R
Lemna trisulca,526223-1,0,0,100,R
Leontodon hispidus,229358-1,47.53,0,52.47,CR
Lepidium campestre,286087-1,23.74,15.17,61.08,R/CSR
Lepidium coronopus,60433916-2,2.77,0,97.23,R
Lepidium densiflorum,286137-1,15.66,0,84.34,R
Lepidium didymum,286148-1,10.33,0,89.67,R
Lepidium draba,286156-1,49.32,0,50.68,CR
Lepidium latifolium,286262-1,70.17,1.65,28.17,C/CR
Lepidium perfoliatum,286336-1,2.89,80.19,16.92,S/SR
Lepidium ruderale,30265500-2,11.44,0,88.56,R
Lepidium sativum,138141-2,33.54,0,66.46,R/CR
Lepidium virginicum,138164-2,21.39,14.56,64.05,R/CR
Leptospermum scoparium,597505-1,0,100,0,S
Leucanthemum vulgare,30296198-2,27.28,22.21,50.51,R/CSR
Leucojum aestivum,65743-1,67.13,0,32.87,C/CR
Leucojum vernum,65769-1,48.97,0,51.03,CR
Levisticum officinale,844187-1,80.82,4.95,14.22,C/CR
Leymus arenarius,407309-1,54.71,45.29,0,CS
Ligustrum vulgare,610130-1,17.1,69.8,13.09,S/CS
Lilium martagon,537662-1,55.5,0,44.5,CR
Limbarda crithmoides,230899-1,3.08,93.42,3.5,S
Limonium binervosum,686665-1,9.84,70.11,20.06,S/SR
Limonium vulgare,687035-1,65.28,27.67,7.05,C/CS
Limosella aquatica,804380-1,0,0,100,R
Linaria dalmatica,1052356-2,32.99,33.92,33.1,CSR
Linaria purpurea,1016392-2,5.49,24.4,70.11,R/SR
Linaria repens,804897-1,21.68,18.77,59.55,R/CSR
Linaria vulgaris,325777-2,4.69,31.76,63.56,R/SR
Linnaea borealis,140689-2,6.03,43.4,50.57,SR
Linum catharticum,544405-1,0,50.29,49.71,SR
Linum perenne,544634-1,1.26,21.92,76.82,R/SR
Linum usitatissimum,544772-1,1.99,2.08,95.93,R
Liparis loeselii,641004-1,30.49,0,69.51,R/CR
Lithospermum officinale,118163-1,30.49,27.64,41.87,CSR
Littorella uniflora,684810-1,2.17,92.88,4.95,S
Lobelia dortmanna,143206-1,20.64,0,79.36,R/CR
Lolium multiflorum,407486-1,34.5,15.33,50.17,CR/CSR
Lolium perenne,407493-1,35.51,34.07,30.42,CSR
Lolium temulentum,407516-1,32.63,27.58,39.79,CSR
Lonicera caprifolium,148670-1,31.83,38.72,29.45,CSR
Lonicera periclymenum,149006-1,25.45,50.32,24.23,S/CSR
Lonicera xylosteum,149194-1,19.57,48.87,31.56,S/CSR
Lotus corniculatus,30179739-2,14.13,36.75,49.12,SR/CSR
Lotus pedunculatus,503822-1,21.95,22.84,55.21,R/CSR
Lotus tenuis,503917-1,16.8,0,83.2,R/CR
Ludwigia palustris,30031106-2,12.86,23.41,63.74,R/SR
Lunaria annua,286647-1,59.34,0,40.66,CR
Lupinus albus,504069-1,69.17,0,30.83,C/CR
Lupinus angustifolius,504124-1,37.92,0,62.08,CR
Lupinus luteus,504707-1,58.61,0,41.39,CR
Lupinus polyphyllus,504939-1,74.87,0.72,24.41,C/CR
Luronium natans,58435-1,13.78,0,86.22,R
Luzula campestris,443746-1,10.03,40.84,49.13,SR
Luzula luzuloides,146224-2,21.11,37.98,40.91,SR/CSR
Luzula multiflora,1159940-2,12.2,36.16,51.64,SR/CSR
Luzula pilosa,443907-1,22.37,31.87,45.77,SR/CSR
Luzula spicata,443940-1,6.05,68.25,25.7,S/SR
Luzula sylvatica,20009373-1,23.8,48.09,28.11,S/CSR
Lycium barbarum,816356-1,56.38,1.18,42.44,CR
Lycopodiella inundata,146933-2,0,0,100,R
Lycopodium annotinum,304983-2,0,68.41,31.59,S/SR
Lycopodium clavatum,304307-2,0,70.85,29.15,S/SR
Lycopus europaeus,449641-1,29.77,14.55,55.68,R/CSR
Lysimachia europaea,77100395-1,17.19,8.27,74.53,R/CR
Lysimachia maritima,77068343-1,15.19,18.8,66.01,R/SR
Lysimachia nemorum,701254-1,14.26,20.72,65.02,R/SR
Lysimachia nummularia,701260-1,12.02,28.52,59.46,R/CSR
Lysimachia punctata,701308-1,38.63,29.29,32.08,CSR
Lysimachia thyrsiflora,148161-2,32.55,14.86,52.6,R/CSR
Lysimachia vulgaris,701414-1,36.81,25.28,37.9,CSR
Lythrum hyssopifolia,147982-2,0,38.9,61.1,SR
Lythrum portula,553777-1,0.66,54.14,45.19,SR
Lythrum salicaria,147990-2,27.56,39.45,32.99,CSR
Maianthemum bifolium,30042358-2,32.24,12.46,55.3,R/CSR
Malus sylvestris,726415-1,23.44,62.99,13.57,S/CSR
Malva alcea,561521-1,40.84,0,59.16,CR
Malva moschata,561790-1,47.41,22.77,29.82,C/CSR
Malva neglecta,561795-1,13.28,47.49,39.23,SR/CSR
Malva pusilla,561868-1,49.92,0,50.08,CR
Malva sylvestris,561932-1,67.29,1.76,30.94,C/CR
Malva verticillata,561971-1,68.93,6.4,24.67,C/CR
Marrubium vulgare,449990-1,34.9,51.7,13.4,CS/CSR
Matricaria discoidea,154716-2,27.53,0,72.47,R/CR
Matteuccia struthiopteris,17145680-1,71.07,13.5,15.43,C/CR
Matthiola incana,286910-1,40.78,0,59.22,CR
Medicago arabica,58427-3,26.09,6.97,66.93,R/CR
Medicago littoralis,506264-1,6.11,70.92,22.97,S/SR
Medicago lupulina,506268-1,16.9,35.67,47.43,SR/CSR
Medicago minima,77089103-1,4.42,58.45,37.12,SR
Medicago polymorpha,60465997-2,21.1,32.19,46.71,SR/CSR
Medicago sativa,30234961-2,22.51,44.62,32.86,SR/CSR
Melampyrum arvense,805620-1,20.06,18.55,61.39,R/CSR
Melampyrum cristatum,805650-1,21.57,15.08,63.35,R/CSR
Melampyrum pratense,805713-1,14.7,31.25,54.05,R/CSR
Melampyrum sylvaticum,805739-1,18.15,0,81.85,R/CR
Melica nutans,408086-1,13.69,46.14,40.17,SR/CSR
Melica uniflora,408184-1,12.04,32.4,55.57,R/CSR
Melilotus albus,156656-2,29.31,34.1,36.59,CSR
Melilotus altissimus,506901-1,18.21,48.39,33.41,SR/CSR
Melilotus indicus,1207360-2,16.48,32.33,51.19,R/CSR
Melilotus officinalis,30429323-2,28.96,34.91,36.13,CSR
Melittis melissophyllum,450128-1,31.5,16.06,52.44,R/CSR
Mentha aquatica,450192-1,33.37,15.29,51.33,CR/CSR
Mentha arvensis,30026217-2,25.02,14.63,60.36,R/CSR
Mentha pulegium,451022-1,11.16,7.29,81.55,R
Mentha spicata,451162-1,28.49,33.29,38.22,CSR
Mentha suaveolens,451188-1,34.95,14.45,50.6,CR/CSR
Menyanthes trifoliata,50970102-1,55.27,5.69,39.04,CR
Mercurialis annua,352179-1,24.11,0.97,74.92,R/CR
Mercurialis perennis,352211-1,27.13,19.54,53.33,R/CSR
Mespilus germanica,726564-1,29.81,44.62,25.57,S/CSR
Milium effusum,408599-1,29.59,27.49,42.92,CSR
Misopates orontium,806149-1,15.9,0,84.1,R
Moehringia trinervia,155772-1,5.86,10.68,83.46,R
Molinia caerulea,98382-3,23.7,53.36,22.93,S/CSR
Moneses uniflora,331307-1,13.85,50.63,35.51,SR/CSR
Montia fontana,311155-2,0,0,100,R
Muscari botryoides,1027825-2,41.55,0,58.45,CR
Myosotis alpestris,118892-1,14.15,0.06,85.79,R
Myosotis arvensis,118914-1,27.18,0,72.82,R/CR
Myosotis discolor,118996-1,6.45,0,93.55,R
Myosotis laxa,119082-1,15.96,0,84.04,R
Myosotis ramosissima,119209-1,15.66,0,84.34,R
Myosotis scorpioides,119235-1,28.4,0,71.6,R/CR
Myosotis sylvatica,119282-1,28.77,0,71.23,R/CR
Myosurus minimus,30001891-2,12.02,0,87.98,R
Myrica gale,300581-2,8.83,84.98,6.2,S
Myriophyllum alterniflorum,430392-1,0,19.26,80.74,R/SR
Myriophyllum spicatum,430465-1,0.94,52,47.06,SR
Myrrhis odorata,845120-1,77.7,7.92,14.39,C/CR
Najas marina,321282-2,2.45,0,97.55,R
Narcissus poeticus,66165-1,66.2,0,33.8,C/CR
Narcissus pseudonarcissus,66177-1,55.13,0,44.87,CR
Nardus stricta,409307-1,4.75,83.95,11.3,S
Narthecium ossifragum,538658-1,41.15,0,58.85,CR
Nasturtium microphyllum,287496-1,32.91,0,67.09,R/CR
Nasturtium officinale,287534-1,32.58,0,67.42,R/CR
Neotinea ustulata,998313-1,40.92,0,59.08,CR
Neottia cordata,645308-1,14.18,0,85.82,R
Neottia ovata,645363-1,50.49,0,49.51,CR
Nepeta cataria,452333-1,15.98,38.61,45.41,SR/CSR
Nicandra physalodes,816832-1,68.9,1.07,30.03,C/CR
Nicotiana rustica,817055-1,77.58,0,22.42,C/CR
Nigella damascena,711645-1,42.49,4.37,53.14,CR
Nonea lutea,119385-1,0,100,0,S
Nuphar lutea,30385379-2,84.94,4.48,10.58,C
Nymphaea alba,171158-2,87.97,3.74,8.3,C
Nymphoides peltata,370207-1,27.83,60.01,12.15,S/CSR
Oenanthe aquatica,845226-1,59.6,0,40.4,CR
Oenanthe crocata,845253-1,65.15,0,34.85,C/CR
Oenanthe fistulosa,845277-1,24.13,0,75.87,R/CR
Oenanthe lachenalii,845312-1,55.88,5.77,38.35,CR
Oenothera biennis,172755-2,57.54,17.42,25.04,C/CSR
Oenothera glazioviana,317809-2,61.65,12.71,25.64,C/CSR
Omphalodes verna,119508-1,41.38,20.77,37.86,CR/CSR
Onobrychis viciifolia,510168-1,39.58,33.18,27.24,CSR
Onoclea sensibilis,281589-2,70.87,8.91,20.22,C/CR
Ononis repens,510480-1,5.46,46.53,48.02,SR
Ononis spinosa,332101-2,11.92,48.09,39.99,SR/CSR
Onopordum acanthium,235234-1,61.45,22.66,15.89,C/CSR
Ophioglossum vulgatum,304390-2,46.86,0,53.14,CR
Ophrys apifera,647746-1,38.9,0,61.1,CR
Ophrys fuciflora,647902-1,38.78,0,61.22,CR
Ophrys insectifera,647942-1,21.86,0,78.14,R/CR
Ophrys sphegodes,648128-1,31.32,0,68.68,R/CR
Orchis anthropophora,648363-1,38.9,0,61.1,CR
Orchis mascula,648853-1,58.19,0,41.81,CR
Orchis militaris,648875-1,68.01,0,31.99,C/CR
Orchis purpurea,649036-1,65.09,0,34.91,C/CR
Orchis simia,649128-1,56.31,0,43.69,CR
Oreopteris limbosperma,17446120-1,71.25,22.57,6.19,C/CS
Origanum vulgare,453395-1,12.5,55.02,32.48,S/CSR
Ornithogalum umbellatum,539600-1,41.63,0,58.37,CR
