taxon_name_Stace,kew_id,C_num,S_num,R_num,predicted_CSR
Arctium lappa,178385-1,76.25,4.43,19.32,C/CR
Arctium minus,178406-1,86.99,1.66,11.35,C
Arctium nemorosum,77072591-1,86.49,0,13.51,C
Arctostaphylos uva-ursi,1024084-2,15.08,84.92,0,S
Arenaria serpyllifolia,303826-2,0,62.69,37.31,S/SR
Aristolochia clematitis,92841-1,55.73,28.75,15.51,C/CSR
Armeria maritima,19793-2,12.42,33.28,54.3,R/CSR
Armoracia rusticana,278747-1,87.55,3.17,9.28,C
Arnoseris minima,140538-3,35.36,0,64.64,R/CR
Arrhenatherum elatius,389923-1,24.23,34.27,41.5,SR/CSR
Artemisia absinthium,300106-2,32.98,22.35,44.67,CR/CSR
Artemisia annua,304416-2,23.3,26.12,50.58,R/CSR
Artemisia campestris,309140-2,12.23,54.5,33.27,S/CSR
Artemisia dracunculus,307848-2,10.63,45.5,43.87,SR
Artemisia maritima,179785-1,28.44,51.99,19.57,S/CSR
Artemisia norvegica,301762-2,34.27,62.62,3.1,S/CS
Artemisia vulgaris,20812-2,42.8,19.01,38.2,CR/CSR
Arum maculatum,86067-1,64.39,0,35.61,C/CR
Aruncus dioicus,20973-2,78.24,4.89,16.87,C/CR
Asarum europaeum,302682-2,50.22,4.88,44.9,CR
Asparagus officinalis,531229-1,0,91.9,8.1,S
Asperula arvensis,743883-1,0,65.15,34.85,S/SR
Asperula cynanchica,743955-1,0,71.85,28.15,S/SR
Asphodelus albus,531456-1,31.07,68.93,0,S/CS
Asplenium ruta-muraria,311563-2,10.24,74.46,15.3,S/SR
Asplenium scolopendrium,30216020-2,66.06,17.76,16.17,C/CS
Asplenium septentrionale,304469-2,15.98,84.02,0,S
Asplenium trichomanes,310197-2,26.46,50.64,22.9,S/CSR
Astragalus alpinus,24418-2,14.81,34.62,50.57,SR/CSR
Astragalus danicus,477044-1,13.2,50.06,36.74,SR/CSR
Astragalus glycyphyllos,477635-1,39.8,25.18,35.02,CSR
Astrantia major,838340-1,66.78,6.41,26.81,C/CR
Athyrium filix-femina,30055316-2,73.28,11.83,14.89,C/CR
Atriplex glabriuscula,26334-2,66.5,1.78,31.72,C/CR
Atriplex halimus,163845-1,29.28,0,70.72,R/CR
Atriplex laciniata,163905-1,45.56,26,28.44,C/CSR
Atriplex littoralis,308388-2,58.89,0,41.11,CR
Atriplex patula,26419-2,53.37,0,46.63,CR
Atriplex pedunculata,164046-1,19.83,8.49,71.68,R/CR
Atriplex portulacoides,164072-1,74.47,2.15,23.38,C/CR
Atriplex prostrata,60448217-2,70.43,0,29.57,C/CR
Atriplex sagittata,164128-1,39.94,29.63,30.43,CSR
Atropa belladonna,814358-1,58.4,0,41.6,CR
Avena barbata,391337-1,17.76,48.13,34.11,SR/CSR
Avena fatua,391443-1,43.27,32.1,24.64,CS/CSR
Avena sativa,391732-1,58.44,5.18,36.38,CR
Avena sterilis,391787-1,27.3,15.36,57.35,R/CSR
Avena strigosa,391799-1,40.79,11.57,47.63,CR/CSR
Azolla filiculoides,17056950-1,23.42,0,76.58,R/CR
Baldellia ranunculoides,58276-1,30.6,0,69.4,R/CR
Ballota nigra,444976-1,26.14,32.56,41.3,CSR
Barbarea intermedia,278866-1,48.74,0,51.26,CR
Barbarea stricta,278905-1,26.22,0,73.78,R/CR
Barbarea vulgaris,29455-2,55.64,2.18,42.18,CR
Bartsia alpina,273085-2,19.16,31.18,49.66,R/CSR
Bassia scoparia,164422-1,8.07,15.37,76.56,R/SR
Bellis perennis,184409-1,40.08,11.08,48.85,CR/CSR
Berberis vulgaris,328527-2,14.7,68.4,16.89,S/SR
Berteroa incana,278924-1,9.25,46.32,44.43,SR
Berula erecta,31836-2,57.18,0,42.82,CR
Beta vulgaris,164505-1,78.83,0.42,20.75,C/CR
Betula nana,301322-2,2.66,87.36,9.99,S
Betula pendula,295174-1,25.24,57.2,17.56,S/CSR
Betula pubescens,295185-1,21.61,49.84,28.55,S/CSR
Betula utilis,295229-1,34.09,37.61,28.3,CSR
Bidens cernua,184796-1,39.77,9.05,51.18,CR
Bidens connata,184825-1,29.4,0,70.6,R/CR
Bidens frondosa,315743-2,48.96,10,41.04,CR
Bidens tripartita,185293-1,45,0,55,CR
Blackstonia perfoliata,366508-1,13.82,26.65,59.53,R/CSR
Blechnum penna-marina,17059990-1,2.19,60.31,37.51,SR
Blechnum spicant,30079143-2,65.26,31.21,3.53,C/CS
Blysmus compressus,1144343-2,12.99,66.67,20.34,S/SR
Blysmus rufus,298083-1,2.87,95.81,1.32,S
Bolboschoenus maritimus,298094-1,38.91,49.33,11.75,CS/CSR
Borago officinalis,113618-1,58.09,0,41.91,CR
Botrychium lunaria,30021929-2,23.24,21.61,55.15,R/CSR
Brachypodium pinnatum,393166-1,21.1,47.74,31.15,S/CSR
Brachypodium sylvaticum,393196-1,27.96,32.79,39.26,CSR
Brassica carinata,279278-1,77.45,0,22.55,C/CR
Brassica elongata,279314-1,31.59,33.97,34.44,CSR
Brassica juncea,60442520-2,67.72,0,32.28,C/CR
Brassica napus,279419-1,77.2,0,22.8,C/CR
Brassica nigra,279422-1,65.23,0,34.77,C/CR
Brassica oleracea,279435-1,51.88,0,48.12,CR
Brassica rapa,279485-1,64.53,0,35.47,C/CR
Briza media,393294-1,14.36,52.23,33.41,SR/CSR
Bromus arvensis,393536-1,25.86,42.2,31.94,CSR
Bromus hordeaceus,30016331-2,7.1,50.83,42.07,SR
Bromus japonicus,60459493-2,13.11,48.07,38.81,SR/CSR
Bromus lanceolatus,393818-1,4.65,47.74,47.61,SR
Bromus racemosus,394050-1,44.93,6.71,48.35,CR
Bromus secalinus,394095-1,32.37,42.08,25.55,CSR
Buddleja davidii,545734-1,40.55,44,15.45,CS/CSR
Buglossoides arvensis,113724-1,4.5,70.88,24.62,S/SR
Bunias orientalis,279703-1,66.63,0,33.37,C/CR
Bunium bulbocastanum,838875-1,45.34,0,54.66,CR
Buphthalmum salicifolium,186459-1,26.44,29,44.56,R/CSR
Bupleurum falcatum,839147-1,20.27,51.12,28.6,S/CSR
Bupleurum rotundifolium,38361-2,34.08,33.48,32.44,CSR
Bupleurum tenuissimum,839434-1,5.92,15.32,78.77,R/SR
Butomus umbellatus,58290-1,27.53,71.51,0.96,S/CS
Buxus sempervirens,340317-1,7.49,92.51,0,S
Calamagrostis canescens,77145450-1,16.38,63.71,19.91,S/CSR
